Key,Source,Context,Changes,English,French,German,Klingon,Spanish
quest,,Category,KgNone,,Quest,Quest,,Misión
challenge,,Category,KgNone,,Challenge,Herausforderung,,Desafío
treasure,,Category,KgNone,,Treasure,Schatz,,Tesoros
bonus,,Category,KgNone,,Bonus,Bonus,,Bonos
questChain,,Category,KgNone,,Quest Chain,Questserie,,Cadena de misiones
difficulty_veryeasy,,Difficulty,KgNone,,Very Easy,Sehr einfach,,Muy fácil
difficulty_easy,,Difficulty,KgNone,,Easy,Einfach,,Fácil
difficulty_medium,,Difficulty,KgNone,,Medium,Mittel,,Medio
difficulty_hard,,Difficulty,KgNone,,Hard,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,,Insane,Irre,,Demente
started,,Keywords,KgNone,,Started,Begonnen,,Empezada
completed,,Keywords,KgNone,,Completed,Abgeschlossen,,Completada
failed,,Keywords,KgNone,,Failed,Fehlgeschlagen,,Fallida
optional,,Keywords,KgNone,,Optional,Optional,,Opcional
RewardTypeQuest,,Keywords,KgNone,,Reward,Belohnung,,Recompensa
RewardTypeChainQuest,,Keywords,KgNone,,Chain Reward,Serienbelohnung,,Cadena de recompensas
ObjectiveAnimalKill_keyword,,Keywords,KgNone,,Kill,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,,Assemble,Zusammensetzen,,Ensambla
ObjectiveBlockPickup_keyword,,Keywords,KgNone,,Pickup,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,,Place,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,,Upgrade,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,,Get,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,,Craft,gefertigt,,Fabrica
ObjectiveFetch_keyword,,Keywords,KgNone,,Gather,gesammelt,,Reúne
ObjectiveGoto_keyword,,Keywords,KgNone,,Locate {0},Finde {0},,Ubicar {0}
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,,Fill,Füllen,,Llena
ObjectiveOpenWindow_keyword,,Keywords,KgNone,,Open {0} Window,Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRepair_keyword,,Keywords,KgNone,,Repair,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,,Scrap,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,,Purchase {0} Skill Level(s),Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,,Time,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,KgNone,,Treasure Found,Schatz gefunden,,Tesoro encontrado
ObjectiveWear_keyword,,Keywords,KgNone,,Wear,getragen,,Vestir
