Key,Source,Context,Changes,English,French,German,Klingon,Spanish
keystoneBlockDesc,blocks,Block,EnChanged,陣地保護ブロック(key stone)はPVPで他プレイヤーから陣地を守り、設置したクラフト台と機械の回収を可能にします。[66ff00]緑[-]の範囲が自陣です。\n [ Workbenchクラフト ],A land claim block can be placed to protect an area from other players in PVP. The green box shows the size of the area.\n [ Crafted in Workbench. ],Ein Gebietsschutzblock kann platziert werden um einen Bereich vor anderen Spielern im PvP zu schützen. Die grüne Box zeigt die Grösse des Bereichs an.,,Se puede colocar un bloque para reclamar un territorio y darle al área circundante una protección extra frente a otros jugadores en JcJ.
scrapFrameGroupDesc,blocks,Block,EnChanged,くず鉄のフレームです。修理と強化にIronを使います。concrete mixなどでさらに強化出来ます。,Used for bases. Upgrade & repair with a construction tool & iron. Upgrade more with concrete mix & others.,Wird für Basen verwendet. Kann mit Eisen und Bauwerkzeugen aufgewertet und repariert werden. Kann mit Betonmischung und geschmiedetem Stahl weiter aufgewertet werden.,,
scrapHatch_v1Desc,blocks,Block,EnChanged,くず鉄のハッチです。[activate]長押しすると、ロック・解除ができます。Construction Toolsでアップグレード、修理が可能です。,Press & hold [activate] to lock it or set a combination. Upgrade & repair with iron and a construction tool using the secondary action.,Zum Verschließen oder Kombination eingeben [activate] gedrückt halten. Kann mit Eisen und Bauwerkzeugen unter Verwendung der sekundären Aktion aufgewertet und repariert werden.,,
spotlightNailedDownPOI,blocks,Block,EnChanged,Spotlight (POI),Spotlight (POI),Scheinwerfer (POI),,Foco clavado
woodFrameGroupDesc,blocks,Block,EnChanged,ウッドフレーム。建物の基本となるブロックです。木と建築ツールでアップグレードと修理ができます。鉄やコンクリートミックス、Iron Concrete Mixでさらにアップグレードが出来ます。,"Used for bases. Upgrade & repair with wood & a construction tool. Upgrade more with iron, concrete mix & others.",Wird für Basen verwendet. Kann mit Holz und Bauwerkzeugen aufgewertet und repariert werden. Kann unter anderem mit Eisen und Betonmischung weiter aufgewertet werden.,,
cntCar03SedanDamage0,blocks,Container,EnChanged,Sedan,Sedan,Coupé,,Sedán azul
cntCar03SedanDamage1,blocks,Container,EnChanged,Damaged Sedan,Damaged Sedan,Beschädigtes Coupé,,Sedán azul estropeado
cntLootCrateShamway,blocks,Container,EnChanged,Shamway Crate,Shamway Box,Shamway-Schachtel,,Caja de Shamway
cntLootCrateShotgunMessiah,blocks,Container,EnChanged,Gunstore Crate,Gunstore Box,Waffenladen-Schachtel,,Caja de almacenaje de armas
cntLootCrateWorkingStiffs,blocks,Container,EnChanged,Working Stiffs Crate,Working Stiffs Box,Working-Stiffs-Schachtel,,Embalaje de la serie Working Stiffs
plantedCorn1,blocks,Farming,EnChanged,Corn Seed,Corn Seed,,,
plantedCorn3Harvest,blocks,Farming,EnChanged,Planted Corn 3 (Harvestable),Planted Corn 3 (Harvestable),Gepflanzte Maisstauden-Ernte 2,,Sembrado Tallo de maíz 2 Cosecha
